yorum,label
"At my request, T-Mobile processed a suspension of my T-mobile home internet service and promised the monthly fee would be reduced from $50 to $10. As agreed, the service got suspended immediately but T-mobile continued to charge the full subscription amount of $50. When I called in again, the agent just said, sorry there was an update to our terms (= fineprint) and now when we suspend we continue to charge the full amount. Of course, this makes no sense whatsoever. Why even offer a suspension when you get charged no matter what. And not living up to the agreement is just fraudulent. Took me a lot of headaches and escalation to get the charge refunded and I just canceled my line. Goodbye T-Mobile. Never again! Current management seems to be on a mission to destroy all customer trust they once had.",0
Tried talking to customer service and am able to get anyone. Was talking to a Jay and he transferred me and no one ever came back on.  Very poor customer service I recommend do not sign up for the service as they do not stand behind anything once you sign up.  Impossible to speak with a human unless you go to a store hopefully you have 1 closer than 50 miles away.,0
"Representative MARTASHA from T-mobile lie to us so we could switch companies, she bribe us by telling us we will get new iPhones if we trade our phones, but that was a lie. We were considering switching to T-mobile, but every single representative we spoke to had lie to us and everyone said different information. We returned all the equipment they sent to us, and now they want to charge a restocking fee, even after having proof on writing what the representative offered was a lie just to get us to signed. They were so many hidden fees that doesn’t make sense, she said we will pay a certain amount a month, and ended up being wayyy more money that she told us. I should have listened to the reviews, this company has to be shut down!! What a nightmare they are.",0
Lies lies lies lies. Anything that comes out of their mouth is a lie and hidden fee you won't know about. Was due for an upgrade got a new phone and was told that it was paid off and time for upgrade so I did months later being hit with double charges for my monthly bill and come to find out they're charging me for both phones still that's crazy. Bill was 280 for no reason other then being misinformed,0
"Highly, highly highly recommend a HARD pass on Tmobile.  Their support is atrocious.  When it comes time to leave they make it brutal to reach them and do it and then they bill you for another couple of months and claim you didn't cancel.  Service is lousy. Go elsewhere - Dealt with Sam #4973207 and he truly had no ability to answer or resolve anything. Spent 2 hours the night before dealing with support person that was even less competent. There's a lot better and/or more affordable options.",0
"You can tell the people they hired are paid by the hour. The last several interactions I've had are outsourced so you can not even understand half of what is being said (and I'm in customer service and normally can) then simple what should be 5 minutes calls are put on hold for things the ""expert"" should know like 14 minutes to see how many gigs of data I used last month. Another 17 minutes on hold to tell me that I can upgrade my plan for one month for my vacation to get extra gigs. SERIOUSLY? 49 minutes for this convo- I'm traveling to mexico next week- wanted to make sure my plan covers international travel.  Her you only have 5gigs of data- me- can I buy more data?  That was the extent in entirety for 49 minutes! Not including the hour wait to talk to a tech. The people answering the phones there are just milking the clock. Or just not familiar in the slightest with where they work.",0
"They charged me for a year, 2 phone lines while I didn't have a single one! When I looked at the account, there's a random number I've never had! You'd think they'd apologize and refund me, but instead, they told me I should've checked my account! Pathetic! T-Mobile = Scammers",0
"They are a ridiculous and lying company! I made a cell phone plan and paid $127 every month for the plan, when the iPhone 16 was released they said that I could exchange the old device for the new one and I paid off the old device and got the new one and I would pay $127 dollars so I did I sent the device to them in the box that they sent me! I received 2 messages on the app saying that I had not yet sent the device and that my promotion would be canceled I called them and they informed me that it was already said that the device had already been received and that I did not need to worry 4 months would pass, I woke up my bill was $165 dollars. I went to the store to find out why, and the girl at the store told me it was because I hadn't sent the old device, so I had to cancel my contract. I had to pay $1,099 up front to keep my device, and I also lost my old device, which I had paid off because I sent it to them. People, don't sign a plan with T-Mobile, they don't honor the contract and in the end you'll lose. Look for another company. I looked and I'm satisfied with Verizon's service.",0
"Do not use these people! They of all cellular companies are the worst by far! The give you a billing date that means nothing to them if you have autopay. They claim autopay gives them the right to debit the payment 3-5 days before the due date . Why have a due date? Why not 3-5 days after the due date? They are desperate people . They will even charge you 10.00 to take the payment over the phone a day early! Their contract and word is worth nothing , just a company run by losers.",0
"This provider is a scam, cheat and a Lier.I have been with T-Mobile for several years with 3 lines, paying $105 a month which includes unlimited data.Last year they changed my plan without telling me and said it was a special offer, I ended up paying more and had to call them to revert to my original plan.I  have been in the UK for a while now, they blocked my unlimited data and roaming service, they said I was using too much data! I called them they were rude and would not restore my data and roaming service. I would give them a BIG 0 STAR if I could. I will be looking for another provider when I go back. What a big SCAM company.",0
