yorum,label
I've had scam calls and Vodafone won't reimburse me as I've been charged. Was given the gigacube for wifi and it was the worst thing I've ever encountered they sent out broadband and then cancelled it.. The signal is absolutely horrendous they don't do anything to help loyal customers the call centre staff are unhelpful and just don't care the worst phone company ever!,0
"Vodafone mobile network reception very poor. Same like Lebara/ Vodafone /Talk mobile all are same company different names. N1C 4PF and E11 3LJ both are internet very poor. 20 years ago was same reception in my area, now 2024 still same. You can't search or watch any streaming in indoor.I'll say avoid Talk mobile and Vodafone until they improve network coverage.Thanks",0
Very revealing that all the good reviews are to do with Sales. The only thing that Vodafone truly does well. Watch for creeping bills. They have a nack for raising bills surreptitiously. Run by over-privileged cotton-wool mouthed toffs with no real world experience. Takes.,0
"We went to Vodafone for our WiFi in October 2024 and, to this day, it has not worked even once. They replaced our router, it did nothing. We've on the phone to them multiple times, even been on multiple video calls, and nothing has been resolved.After months of paying for no service and being asked to do the most basic trouble shooting over and over again, we decided to try and terminate our contract. Apparently, we still have to play termination fees, because it seems months of no service and condescending customer service does not qualify us for the right to leave. Also worth noting, the customer representative said there was no notes on our account saying we were even having trouble after multiple calls with them.Don't waste your time on their broadband packages.",0
I have 3 contracts with Vodafone and have been a loyal customer for over 20yrs.But I'm getting to the point where I will likely move them all because I have now been without mobile data for 4 daysLast thing I received was a message saying I don't need to do anything it's being looked at... since then absolutely nothing!,0
"I would give zero if I could. My home broadband is supposed to be switching to Vodafone today buy yesterday at 16:51 I received an SMS and email from Vodafone informing me that Vodafone have cancelled my new Home Broadband order without an explanation. I spent the next three and a half hours speaking to different Vodafone agents and also with my preset provider to try and stop being disconnected but achieved nothing. The only solution Vodafonre offered is to start a new contract and a manager will call me within 24hours. If no emergency action is taken today and as soon as possible, I will be with no broadband or phone line for the next two weeks. This will be a disaster as I am heavily dependent on my broadband.",0
"Had an awful experience with Vodafone customer services. If you eventually get to speak to a person instead of a robot you cannot understand a word of English they are trying to speak. Mainly they are rude, with the exception of a few and despite me trying to relay a problem with my broadband over 7 separate phone calls, nothing was ever communicated to Openreach. Needless to say I cancelled my account and want nothing more to do with Vodafone EVER!  Think twice before being enticed by their cheap deals because it will end up costing you your sanity.",0
"6 weeks and still waiting on broadband installation. AVOID AT ALL COSTS. Terrible, disjointed service. Gave me a complaint ref then closed the complaint without speaking to me, I still have no service and am told simply to wait",0
An absolute disgrace.  I have been charged a late payment fee that they refuse to refund after I was sent what appeared to be a fraudulent text.Vodafone confirmed it was not them and so I cancelled my direct debit and set up again just in case.Vodafone now say it was them and they apologised for their mistake but the refuse to refund.I’m also told I cannot complain because their Ask Once service is only in a trial phase and so there is nothing they can do.As always a dreadful experience with a company who cares about one thing and it isn’t customers.,0
"I put extras on my account, but they were really difficult to remove. I spoke to some one, who - basically- tricked me into not cancelling there and then and sayin if I waited until a certain date I could have the charges removed that month. Not true. IF you get through to them on the phone, don't let them trick you into not making the changes you want right there and then. I have finbally got the charges removed, but have ened up paying for a nother three months. They seem to think that is OK. Wish I could leave them. AWFUL SERVICE,.",0
Don’t touch Vodafone with a barge poll. My so called contract went from £40 to over £150/month - pure daylight robbery! This is nearly surpassed by the sheer incompetence and appalling customer service - which has to be done over Twitter of all things! And after paying extra to terminate my contract before it skyrockets - I can’t get anyone at Vodafone to confirm that my final invoice/payment is actually my last. Seriously stick to SIM only people - these companies can’t be trusted.,0
"Had Vodafone broadband, and organised to have connection moved to new property a month in advance (allowed by the contract). They said no engineer would be needed and would be up and running on day of moving in with same router.Moved in to new house, connected router, and nothing. Contacted Vodafone, and after an hour it transpired they had accidentally closed my account. It would take 2 weeks before internet could be restored, and it took 2 hours to reinstate a new account.Awful service, and the second big screw up I've experienced with Vodafone.",0
"Be weary about extending your contract with Vodaphone! It can destroy your credit score.I was an existing customer and when my deal came to an end I applied for credit for a new phone and SIM plan. Which was actually cheaper then my current deal.Vodaphone's credit team applied 2 hard searches to credit file, which has completely destroyed my credit score. This is even more frustrating after having a pristine credit file for a considerable amount of time.I have lost hours of time now writing to the Ombudsman and FCA to try and get this corrected.It is appalling and seriously wouldn't bother taking the risk.",0
"Revolting customer service over the whole year since I entered the contract.  First they put me on on their legacy systems, then they  could not resolve roaming charges, even though i had these charges included in my contract, and now they simple closed my complaint.  I am shocked. Totally incompetent, unpleasant, extremely poor service.MY EDIT:  The reply form Vodafone is equally unacceptable.  I called them and emailed them enough.  Where is the telephone number to a competent person??",0
"I went from moneysupermarket for a Vodafone deal, at the checkout stage am told my personal details are wrong but it doesn't specify what. I try a couple of times, delete cookies etc, but no change. The bot chat is slow, and an adviser appears but disappears mid chat. I try again, nothing. I call, first time it's picked up but no voice. Second time, I'm put through to X, Y, then Z in sales, who says she can't help process the deal I want as it's online only. This has alll taken most of an hour. Absolute waste of time, and it's exactly the kind of crap I got at EE hence I left.",0
"AVOID VODAFONE!They owe me over £320 compensation due to being unable to connect my broadband on my activation date. BUT.... it's not the money that matters, when people lie to you, it means you don't matter. Choose a better provider.",0
"Simply horrible.Signal wasn’t very good, the data hardly ever worked.We eventually left and joined EE, my contract was over. However about 2 months later I got a letter from a debt collection saying I owed Vodafone £30 something. When I contacted the debt collection agency they had no idea why I hadn’t been notified and sent it back to Vodafone. Vodafone didn’t apologise or explain why they never told me I owed them money. I paid it since it was £30But my partner (who also left Vodafone) was told he owed them £210 for the remaining contract balance and phone. So he paid that, but then 3 months later, he has received a letter from a debt collection agency saying he owes £510! Where on earth did this number come from? He contacted the debt collection agency and they sent it back to Vodafone. He has emailed Vodafone wanting an explanation and has not yet received one.We even got a letter saying that his account was settled with the £210 payment. What an absolute joke. Would not recommend",0
My iPhone broke before Xmas- it is covered by Vodafone for repair or replacement.The people in the store were pleasant but really poor at communicating what information was required to be able to send the phone off- I had to go back twice and my husband once. Information given was completely contradictory and caused a significant waste of my time.,0
"My wife upgraded from ""pay as you go"" to ""pay as you go plus"" as Vodafone kept urging her to do so.After a week and a half of total frustration, being messed about, not being able to use the app to log on (the sole means of access), spending endless time on the phone to get it sorted out, she gave up and told Vodafone to just cancel it. She's now gone back to basic ""pay as you go"" with her old number.A week an a half totally wasted!",0
LIERS!They admitted on the phone that they lied to me multiple times. Were they bored? Were they incompetent? I do not know that. They did nothing to help me afterwards. Had to spend 5hours on the phone with them to sort the easiest of issues.I have never had such bad experience with any kind of service!,0
"The worst experience I’ve had. As a first time for trying to get a phone contract to build my credit score as a young person. It took them 8 weeks and over 5 in store visits. Multiple credit checks were run and effected my score. At to top it off I wasn’t even able to purchase a phone. I am utterly gobsmacked at the service and how they let this happen to multiple people due to system errors on their end that leave customers without a phone and an affected credit score. I use my phone for work and missed multiple events were it was needed as they couldn’t resolve their issue. Would not recommend, the entire infrastructure at Vodafone is useless and they couldn’t seem more uninterested in helping you",0
"Twice recently I’ve tried to upgraded and both times I’ve been on the phone what seems like forever and never got even a price because they don’t know there stuff, good god how are they still in business, EE here I come after 20 years of being loyal",0
I ordered a broadband package from this company and made appointment to deliver the equipment 4 times but did not arrive.  Eventually after numerous phone calls it did and when I complained their response was it arrived on date of switch over.I wasted 4 days and no one cared will never buy from this company again,0
"Had broadband since 2020 and it's got steadily worse since. The past few months have been unbearable. I work from home and can't do half of what I need to do due to poor speeds and an unstable connection. I have spent several hours on the phone to Vodafone over the past couple of months, and on 22/12/24 I was told I could leave if the issue wasn't rectified within 30 days.On this time, I have made several calls to customer support who have offered contradictory advice on every call with no improvement. I have also had a visit from Openreach, that did absolutely nothing. Today I was given yet another 24 hours to wait before being given a call back to find out that the issue has yet to improve. I was told today that if I cancel, I would be liable for the early termination fee even though I am already paying for an unusable service.Shocking network, shocking service. Absolutely avoid. Thankfully, the staff have been pleasant so that's the only plus point.Update 20/01/25Vodafone still have no record of the email they have sent, which I have helpfully tweeted at them after spending several more hours on the phone, being passed from home broadband team to cancellations, and back again. They are still insistent that the cancellation fees apply, even though we are now at 30 days since I received the early termination email. Shocking customer service yet again.",0
Staff not remotely helpful online or phone based.Been with Vodaphone for 16 years every time i contact them its a new challenge to actually speak to anyone who can help with my queries. The MOST unhelpful company i have ever dealt with Glad iv now cancelled my contract and moved to EE. Vodaphone is no longer what it used to be at all!,0
"Whilst I would say Vodafone are the best broadband provider for problem-less internet, I upgraded to the 250 minimum megaband limit but broadband tests never go higher than in the 90s which for me is Vodafone not agreeing to their terms. So don't upgrade!EDIT Vodafone say ring them up but i tried that. Been through all that!",0
"I bought a smart bike tracker GPS from them for £65. They have now discontinued the service, so I possibly have the most expensive bike light—thanks to Vodafone. = Regret.",0
"Poor customer service, e mails ignored and an impossible web site to follow. Bounced from dept to dept on the phone, after two hours gave up. After 30 years I'm going to a provider who values customers.",0
"Anyone who uses Vodafone knows most of these reviews are fake. Using the Wayback Machine you can see the volume of reviews on here jumped hugely from May 2023 to June 2023 and mysteriously the rating went from being 1.3 to 4. What a turnaround in just a month, it's almost like they used an LLM to generate plausable sounding reviews.The old score was reflective of the service they provide.",0
"Dreadful. I was sold a 150MB service that is slower than Plusnet standard. The router drops out all of the time, if you switch channels on the TV you are playing russian roulette with actually getting anything back. Just spent about half an hour on line with the service adviser, another waste of time.Of course to cancel they want a fee even though I am paying for a service that they said they could provide but do not appear to do so. They have drilled a load of holes in my house to fit equipment that does not work. It is that bad that I am going to pay the cancellation fee and go back to Plusnet, I should bill these clowns for the damage they have done to my property and bank balance. Avoid at all costs.",0
"Disconnected my number without warning, when I went to a branch for support, they were not interested in helping. Other networks are better.",0
"From the bottom of my heart I urge you to NOT pick Vodafone.  My WiFi was supposed to be installed in July 2024, we ordered the router and waited for somebody to come and install it, month after month it got pushed back, nobody would help us and we went 4 months without our WiFi being installed.  In November somebody finally came to install it; now you’d think that would be sorted - think again. Because I had not paid for the 4 months that we HADNT even used, they cut off our WiFi and said the only way to fix the issue was to pay for the full 6 months and they could refund us afterwards. Come to today, I have paid the full amount of 6 months, and they tell me that we no longer have a contract and I have to order a new router, but I CANNOT change my broadband to another company because “we have a contract with Vodafone”.  I have never had such an incredibly abysmal experience with a company in my whole life.  I have wasted 6 months of my life calling Vodafone for answers and every single time I’m on the phone for 3+ hours and have NO happy outcome. £130 down and STILL NO WIFI.  If I could go back in time I would have picked Gigaclear.",0
My broadband content control doesn't work and after 2 weeks of trying they still couldn't fix it which exposed my kids to adult content. Despite not being able to fix it they refuse to cancel my contract so I can move to other provider.,0
Customer service is probably the most expensive mini company I’ve been with over 20 years. I certainly would use them again very disappointed.,0
"We joined to Vodafone on 18th December and after New year we had  the problems and on 7th January it stopped working at all. Support service doesn't work. Everyday we are waiting update and they only change the date and nothing happens one week ago. Both me and my son are working remotely, but vodafone doesn't care. We are still waiting for any internet and asked the refund, will cancel this service once we get internet back...",0
"The misery continues. Day 6, still no internet. Vodafone first blamed Openreach, insisting they used the wrong type of Ethernet cable from the Openreach box to the router! Openreach had to revisit the property to prove there was nothing wrong with the Openreach box or the cable. They now think it’s a faulty router. Three more days pass. New router arrived today and yep, exactly the same, still flashing red! Openreach box looks fine, all green.",0
Just recently moved to vodafone for broadband. Agreed deal and price. But two.larger amounts now taken from account.  Not received  a welcome pack as promised. So no PIN number. I cannot get through to anyone without pin. Crazy. Tried two full days on chat. I can't answer security questions because none set up. Total waste of time. Day 3 still not  got anywhere.  They say they will send code to.my mobile. None comes. They probably got that wrong as well. Big mistake changing to them. Customer service doesn't  exist.,0
Vodafone are a complete shambles the logistics of ordering a broadband line has and still is a nightmareI thought Openreach were bad but Vodafone have surpassed them for incompetence,0
"If I could give less than 1 I would believe me! This network are financial bullies. I currently have a open financial abuse case against Vodafone. They have made up 6 different direct debits for one contract phone. Charging me almost £250 per month. So I stopped paying all 6 and just paid my monthly bill via the app. Now I'm getting letters threatening me with Debt collectors and they have sent the same ""owed"" balance to 2 separate collection agencies. To which I have paid one when I have been informed by my solicitor I don't have to pay any other than the one stated in my Billing section of my app as that is the only legally binding payment I need to make to cover my mobile contract bill. The amount of letters, emails and calls I get daily, would push even the strongest to become suicidal imo. Steer well clear of their new contract payment design as they dint inform you at the start that you'll have 2-6 separate DD..",0
"My line was cut of even tho my contract is still on going when I contacted customer service they said something about some other provider did it but the thing is I didn't go to any other provider (i think they are just BSing to save there skin) and when I explained everything they just say ""oh, ok we will place a new order and it will probably fix it"" and the order gets cancelled. This happened 4 times and no solution still its almost been 2 moths and don't have the service I paid for. I have to say dog Shit service with no real solution they could have just removed the other providers line and put in ours",0
"Broadband stopped working. No idea why and no-one from Vodafone had any idea as to initial cause. Interminable phone calls trying to get it sorted spanning a week. Issued me an 8 digit fault reference code. Phone system would only accept a 6 digit code, so had huge menus to plough through wasting time every call. Promised a call back which didn't happen. Poor. Wish we'd never left Virgin.Should also mention that we had to bin our previously reliable TP link mains adaptors when we signed on as we couldn't get them to work with the Vodafone router. Google research confirms we are by far the only people to have the same issue.",0
"After Vodafone messing up my broadband  install and leaving me with no internet, they got act together and fixed that, now 2 months down the line I find they are charging me for a mobile hotspot( that they sent I didn't want) and were going to carry on that 57.48 mth charge and the help desk idiots could not see the maths in the bill claiming the bill was correct.I've raised a formal complaint and will update asapPs the previous specialist care email I had previously referred 6 digit no doesn't workUpdate 16/1/25 after registering a complaint and spending hours on phone to the helpdesk and me demanding a supervisor contact me, a manager phoned last night to agree with my figures for the costs and has said he will refund me, but nothing else for my hassle.",0
"Update of my 28 Dec Review. Although i have proved my broadband is 27MB/s slower than the guaranteed minimum speed, my proof is not enough (ex BB engineer). They have basically said, that's it, it's your kit, live with it. They are mis-selling their packages, I believe they are over subscribed and their core cannot cope. I am searching for another provider. Choose another provider.",0
was with vodafone  for 6 days because they would not correct my last name they messed up they were only  wanting a 4 digit  security code from me  witch I could not remember .they did dot have the brains to check my form that I signed up with or my bank details  also my email address witch they had .so as I said only 6 days I had there router  and I took it to a vodafone shop in Aberdeen bon a cord centre .now I just got my bank statement with £28.oo taken out  by vodafone I returned there item with in the 14 day .rip off artists.,0
"Been with Vodafone for 4 years, never missed a payment, have Experian credit rating of 928 out of 999 but Vodafone failed my credit check for an upgrade and won’t give an explanation.I went to EE and they passed me straight away.Bye bye Vodafone 😊",0
