yorum,label
Hattımı Turkcell e taşıdım. Turkcell den numara taşıma talebiniz onaylanmıştır. Hat taşıma işleminiz 11.12.2024 saat 13:50 de gerçekleşecektir mesajı geldi. Diğer hattım kapandı ama Turkcell hattım hala açılmadı mağdur oldum. Yardım talep ediyoruz. Desteklerinizi bekliyorum,0
"Merhaba, ben 5 Aralık 2024 tarihinde Turkcell'in internet sitesinden 2 saatte hattın kapında yalanına inanarak 506 ******77 numaralı hattım için numara taşıma talebinde bulundum. Yeni sim kartım ne başvuru yaptığım tarihte ne de ilerleyen günlerde bir türlü tarafıma teslim edilmedi. Bir haftadır da hattımın teslim edilmesini bekliyorum. Bu arada müteakip defalar müşteri hizmetlerini aradım ve online işlemler menüsüne yönlendirdiler. Ancak bir türlü hattımla ilgili bilgi alacağım bir yere ulaşamadım. Yalandan yere dakikalarca bana müzik dinlettiler. Bu arada mailime gelen mesajlardan hattımın güya 7 aralıkta teslim edilmediğini öğrendim. Ve Turkcell tarafından mağdur edildim. Turkcell gibi bir firmaya bu yakışmadı. İnternet sitesinde tüketiciyi aldatıcı ve yalan beyanda bulunuyor. Kimse bu firmaya inanıpta başvuru yapmasın.",0
"Sim kartımı taşıdım. Bana verilen mini sim kart paketinin içinde yazılan Turkcell uygulaması ile tüm işlemleriniz tek yerde adı altındaki kare kodu, Turkcell uygulamasını indireceğimi düşünerek okuttum. Sonuç olarak, bana 230 TL karşılığında istemediğim Eğlencepte 2 uygulaması aboneliği satın aldırdınız. Aboneliğimin iptalini istiyorum.",0
"Merhaba,Turkcell'den 04 Aralık 2024 tarihinde online işlemler üzerinden hat başvurusunda bulundum, hattım 05.04.2024 tarihinde Kuryenet'e teslim edilmiştir. Sorun da burada başlıyor. Turkcell firmasının çalıştığı Kuryenet firması sim kartımı teslim edemiyor. Firmaya ulaşmaya çalıştığımda otomatik cevap dışında bir destekleri yoktur. Turkcell firmasından alacağım hizmeti bu şekilde daha ilk seferden sorun yaşamak beni üzdü, koca firmasınız daha düzgün bir kargo/kurye sistemi ile çalışmalısınız. Müşteriniz olma yolunda bu şekilde tatsız olaylar bizleri üzüyor. Ailecek Turkcell'e geçme kararı aldık ve Kuryenet paketimizi teslim edemiyor, neden edemiyor? Kayıp olduysa yenisini gönderilmesini talep ediyoruz.",0
"İmza olmadan hat sahibi değişikliğiTurkcell, benim imzam olmadan hat sahibi değişikliği yaptı. Benim imzam olmadığı halde hattım 2 defa hat sahibi ismi değişti. Bu nasıl oluyor ve hattım bende olmadığı halde 8 aydır faturasını ödüyorum. Hattımı kendi adıma almak istediğim halde yapılamıyormuş ama benim imzam olmadan nasıl başka isme aktarılıyor, anlamadım. Paket satın aldığım halde benim ismim çıkıyor ama iptalini istediğimde 'hat sahibi ismi değişik, siz iptal edemezsiniz' cevabı geliyor. Madem iptal hakkım yok, paketi satmayın bana. 'Biz paketi verelim de ne olursa olsun' böyle satış olmaz. Hat değişikliği zamanında beni aradıklarını iddia ediyorlar. Ses kayıtlarını istiyorum, onu da vermiyorlar. Hattımı kapatmak istiyorum, o da olmuyor. Hattım bir işe yaramıyor. Lütfen daha duyarlı olun.",0
17511934614 sipariş numarası ile hattımı taşımak için Turkcell'e başvuruda bulundum. Kurye aradı evde olduğumu söyledim ona rağmen ne gelen var ne giden 4 5 gün oldu. Tekrar da gelen olmadı arayan da. Acilen sim karta ihtiyacım var taahhüt sürem doluyor. Kampanya biterse de bu benimle alakalı değildir,0
Turkcell Platinum 90 GB paketini kullanıyorum ayrıca evimde Turkcell Superbox 200 GB internetim var. Her ne hikmetse telefonu kullanmadığım zaman bile bir daha ki güne kadar 8-10 GB gidiyor. Tüm güncellemeler kapalı ona rağmen durum böyle. Müşteri temsilcimle görüştüğümde hiçbir şekilde kullanımları görüntüleyemediklerini söylediler. Çok pişmanım Turkcell pişmanlıktır. Arkadaşlar hem aşırı pahalı hem de sebil gibi giden interneti...,0
"Turkcell ile yaşadığım bir durumu paylaşmak istiyorum. Paketimin taahhüdü dolacağı için 2 Kasım tarihinde Turkcell'in altın Festival 490 TL'lik paketine geçiş yaptım. Aradan 4 gün geçtikten sonra telefonda dolaşırken aynı paketin fiyatını 390 TL'ye düşürdüklerini gördüm. Müşteri hizmetlerini aradım ve paket aynı paket, neden fazla ücret ödüyorum, zaten düşürmüşsünüz paketin tutarını, o zaman ona geçiş yapayım dedim. Müşteri hizmetleri de aynı operatör içinde bile olsa paket değişiminde cayma bedeli ödeyeceğimi söyledi. Kendi bulunduğum operatörde paket değişikliğinde bile cayma bedeli istediniz, bu durum beni rahatsız etti. Operatörümü değiştirmek istedim çünkü yeterince güven sarstınız. Müşteri hizmetlerini aradım, cayma bedeli 200 TL dediler ki ben bu operatöre geceli sadece 10 gün oldu. Daha ilk faturamı bile ödemedim. Şimdi Turkcell uygulamasından bakıyorum, cayma bedeli 390 TL'ye çıkmış. Bu duruma bir çözüm bulunmadığı takdirde Tüketici Hakları'na şikayette bulunacağım.",0
"5 Aralık günü numaramı Vodafone'dan Turkcell'e taşıdım. Bu işlemi online olarak yaptım ve e-sim istedim. E-Devlet'ten belgelere onay verdim, e-sim'i telefona tanımladım (yani QR kodunu okuttum). 7 Aralık günü eski hattım kapandı ancak yeni hattım açılmadı. Turkcell uygulamasına baktığımda hattımda tanımlı olan paket yüklenmiş, ancak hat açılmamıştı. Müşteri hizmetlerini aradım, yaklaşık 25 dakika bekledim. Bana bazı talimatlar verdi, uyguladım, ancak yine olmadı. 48 saat beklememi söyledi; 48 saat doldu, yine aradım ve şubeye gitmemi istedi. Şube fiziksel bir kart çıkarmayı teklif etti, ancak daha önceden online başvurudan fiziksel kart başvurusu yaptığım için fiziksel kart çıkarılamadı. Müşteri hizmetlerini arayıp işlemi iptal ettirmemi söyledi. Müşteri hizmetlerini aradım, böyle bir yetkilerinin olmadığını belirttiler. Başka bir mağazaya gittim; hattımın e-sim'e açılmadığını ve bunu hallettirmemi söyledi. Tekrar müşteri hizmetlerini aradım, BTK'yı aramamı söyledi. BTK, telefonun Türkiye'den alındığı için herhangi bir işlem yapmaya gerek olmadığını belirtti. Anlayacağınız, bu işle uğraşmaktan bıktım. 4 gündür hizmet alamıyorum ve alamadığım hizmetin parasını faturaya yansıtmışsınız bile.",0
"Salla Kazan hakkım gelmedi. Turkcell Asistan'a sorunca bugün yaptığımı söylüyor. Hakkım gelmedi ki sallayayım, bunun düzeltilmesini istiyorum. Faturamı biraz geç ödesem elli kere arıyorlar, buna da çözüm istiyorum. 11.12.2024 tarihi Çarşamba, Salla Kazan hakkım gelmedi.",0
