yorum,label
"19.12.2024 tarihinde babamın hattını, Vodafone'dan Türk Telekom faturalıya taşıttık ancak babam köyde yaşadığı için hattın kargo ücreti dahilinde köye teslim edilmesini istedik. Yaklaşık 24 gündür kurye hattı getirip teslim etmiyor ve aradığımızda hattın kargo sürecinde olduğunu ve kesin bir zaman veremeyeceklerini söylüyorlar. Neredeyse bir ay olacak ve babam kendi telefonundan arama yapamıyor. Bu şekilde insanları mağdur etmekten vazgeçin lütfen, bu konuyla Türk Telekom'un ilgilenmesini istiyorum.",0
"Anneme yeni abonelik yaptırmak için başvuruda bulundum. F****** T**** kontrol edilirse T.C. 116... 28. Şikayetim, müşteri temsilcisi ve bize yapılan beyanlarla ilgilidir. Bugün için randevu oluşturdum, yeni abonelik, ev interneti ve Tivibu için. Arkadaş sabah geldi, lakin acil hastane durumundan ötürü evde değildik. Rica ettim, tekrar talep için aradım ve bana bugün müsait olan arkadaşların gün içerisinde tekrar geleceği söylendi, bekleyin dendi. Şimdi arıyorum, müsait yok, yarın da yok deyip beni yanıltıcı beyanlarda bulundular ve beni beklettiler. Şikayetçiyim. Müşteri temsilcilerinizden ve onların yaptığı muamele yüzünden talebimi iptal ettim. Bu şekilde mi muamele yapıyorsunuz? Yeni aboneliklere ucuz mu veriyorsunuz da müşterilere yanıltıcı beyanlarda bulunuyorsunuz? Sizin personelinizin ilgisiz davranışları yüzünden isteğimi iptal ettim. Biraz saygı duyun insanlara. Parayı alıyorum, anlaşmayı yapıyorum, gidin olmuyor.",0
"1 yılı aşkın bir süredir mahallemizde altyapı yok, ne gelen var ne giden; parasıyla hizmet alamıyoruz. Cidden artık bir çözüm bulun, yıl olmuş 2025, hâlâ internet sağlayamıyorsunuz.Türk Telekom reklamlarında her şeyi çok kolay gösteriyorsunuz. İlgisiz ve sorumsuzsunuz.",0
07.01.2025 tarihinde faturalıya geçiş yaptım. Fatura bedelim 107 lira iken mobilde 732 lira olarak görülüyor. Ve hiçbir şekilde fazla ödeme yapmayacağımı belirttim. Playweez üyeliği kendi kendine yansımış ek ücretini de istiyorlar. Bu sebepten ötürü gerekli müdahaleyi bekliyorum.,0
"2024 Aralık 19'da başvurduğum Türk Telekom sim kartım hala gelmedi. Kurye hiçbir şekilde müşteriyle irtibat kurmuyor. Sonra da aradık açmıyorlar diyorlar. 10.01.2025 tarihi itibarıyla hala sim kartım yok. Bir an önce ulaştırın lütfen, iletişim kuramıyoruz.",0
"Türk Telekom Bayisinde KVKK İhlali ve Kaba Davranış, Türk Telekom Müşteri Hizmetleri Şikayetimi Ciddiye Almıyorİstanbul Vialand AVM'de bulunan Türk Telekom Bayisinde yaşadığım personelin kaba davranışı ve KVKK ihlalini şikayetle bildirdiğim müşteri hizmetleri defalarca yazdıktan sonra zahmet edip yarım yamalak dönüş yaptı. Ezber bir cümleyle kaba davranış hakkında söylediklerim dikkate alınmadı. KVKK ihlali konusunda ise cevap bile verilmedi. Bir şikayeti tam olarak cevaplamayan, bayi çalışanını koruyan bir şirket kurumsal olamaz. Müşteri ilişkilerini işini tarafsız şekilde ve tam olarak yapmaya davet ediyorum. Bu çalışan ben o anda vermediğim halde eski müşteri olduğumdan benim kişisel bilgilerime ulaşıp ""elim kolum uzundur"" diyerek benimle nasıl konuşabiliyor. Bu konuda bana dönüş yapana kadar tüm mecralardan yazmaya devam edeceğim.",0
"Oyun oynarken açılan reklamdan kendiliğinden abonelik yapılmış ve benim onayım olmadan kayıt olmuş böyle bir şey nasıl olabilir. 3699 (Astrolojim Club) aboneliği başlattı. Aynı gün iptal etmemize rağmen, hatta hiç kullanmadığımız servis ücreti 143.59 lira yansımıştır. Bu tam bir aldatmaca Türk Telekom'u da kınıyorum. Bu olaya yol açıp müşterisini zarara uğrattığı için. CİMER'e ve Tüketici Mahkemesi'ne de bu konuyu şikayet edeceğim. Zararımı 135 liramı alana kadar peşini bırakmayacağım.",0
"Türk Telekom Mersin müdürlüğü evimizdeki internet bağlantısının kopma sorununu yıllardır çözmüyor. Defalarca arayıp arıza kaydı oluşturduğumuz halde sorunumuzu çözmüyorlar. En son birkaç ay önce mahalledeki internet panosundan evimizin içine direkt kablo çektiler, ve bunun için penceremizi deldiler fakat sonuç değişmedi. Bu işlemden bu yana defalarca talep etmemize rağmen teknik ekip göndermediler. Alamadığımız hizmet için her ay boş yere fatura ödüyoruz.",0
"Geçen yıl büyük bir hata yaptım ve Türk Telekom'lu oldum. Daha önce iki büyük operatörü de kullanmış biri olarak diyebilirim ki en yalancı ve sorunlu operatör Türk Telekom. İkinci yılımda değişmek isterken teklifte bulundular. Ben zaten kafalarına göre faturamın yükseldiğinden şikayet ediyordum, bana temsilci bayan o paketin aşım olmama özelliği olmadığını anlattı. Sonra şu an kullanmadığım aşım olamayacağını iddia ettiği paketi sundu. Ben üstüne basa basa yükselme olmayacağını onların tarafından yok telsiz ücreti yok bilmem şu bahaneyle yükselmeyecek yani öyle mi dedim, evet dedi. Ben de aldım, önceki aylar iyi gidiyordu ve filmin tekrar fragmanı yine gösterime girdi. Ocak ayı yükselişi telsiz ücreti bahanesi ile yükseltildi. Bir saat kadar önce müşteri hizmetlerini aradım, sonuç bilindik hikaye. Bir de ezber ettirmişler arkadaşlara aynı nakarat, müşteri saf yerine konulmaya devam... Telekom'un altyapısı ayrı bir tantana, ayrı bir hikaye. Her şekilde bizden her şeyi fazlasıyla çıkarmalarına ve kötü bir internet ve arama hizmeti sunmalarına rağmen yanıltmaya devam ediyorlar.",0
Türk Telekom ekonomik sıkıntılardan dolayı iş yerimiz maalesef kapanma durumunda. İnterneti kapattırmak için Telekom TTNET 3200 TL taahhüt iptal bedeli istiyor. Bu haksızlık değil mi? 8 ay kullanılmayan internet için para ödemek gerçekten adil değil. Bunun için ne yapabilirim?,0
"Türk Telekom gene yaptı yapacağını. Yıl sonunda sabit fiyat diye paket alıyoruz, ancak interneti her sene artırarak faturayı yükseltiyorlar. Ne hikmetse internet vaktinden önce tükeniyor. 273 TL olan faturam 396,50 TL çıktı. Bir de dalga geçer gibi %10 indiriminiz vardı, o bittiği için diyorlar. Biraz matematik biliyorum, arasındaki fark %48 civarı. Nasıl hesaplıyorlar? Bana 12 dönem sabit fiyat diyorlar. Faturamın düzeltilmesini talep ediyorum. Düzeltmiyorlar ise cezasız olarak başka operatöre geçmek istiyorum.",0
"Türk Telekom internet kullanıcısıyım. 100 Mbps fiber interneti taahhütlü olarak 370 liraya kullanırken taşınmak zorunda kaldım. Yeni adresteki altyapı, maksimum 50 Mbps'ye kadar destekliyor. Müşteri hizmetlerinin yönlendirmesi ile nakil işlemi başlattım. En az 10 kez telefonda, 2 kez de müdürlükte yüz yüze görüştüğüm yetkililer, defaatle kullanmaya devam edebileceğimi söyledi. Bu süre zarfı içerisinde 11 gün boyunca nakil işleminin tamamlanmasını bekledim. Geldiğimiz noktada 24 megabitlik interneti bana 800 liraya satmaya çalıştılar. Sistemsel sorunlar nedeniyle alamadığım hizmet bir yana, aboneliği bitirmem için benden 3600 lira talep ettiler. Türk Telekom bu saçmalığa dur de!",0
"Türk Telekom internetim fazla ve aşım yapamadığım halde asla çekmiyor, bir çözüm sunun. İnternet çekiyor görünüyor ama hiçbir şey açılmıyor. Açılsa da yavaş. Müşteri hizmetlerine de ulaşamıyorum. Bir çözüm sunulmuyor. Şikayet edeceğim, her yere edeceğim. Gayet yüksek ücret ödüyorum.",0
"7 Kasım 2024 akşamı müşteri hizmetlerini aradım, tarife değişikliği için. 10 GB bana 192 TL denildi. Ben de uygulamada 12 GB 192 TL dedim. Bir gün sonra uygulamada tarife değişikliği yaptım, 192 TL olan 10+2 GB 225 TL olmuş, onayladım. Ama benim faturam 302₺ geliyor. Müşteri hizmetlerini aradım, durumu anlattım. Sizin tarifeniz 286₺ diyorlar, ben bunu kabul etmiyorum. İncelenmesi için talep oluşturuldu, gelen cevapta bir sorun yok deniliyor. Ben bunu kabul etmiyorum. Benim onayladığım o tarihte tarife 225₺, ben kör değilim, ne onayladığımı bilmiyor muyum? Müşteri hizmetleri ekran görüntüsü var mı diyor. Böyle bir sorun olacağını bilsem alırdım, demek ki size güven olmuyormuş. Sorunumun çözümünü bekliyorum, yoksa gerekli hukuki yollara başvuracağım.",0
"Şikayet Konusu: Türk Telekom Fiber İnternet Bağlantısının 1 Aydır SağlanamamasıSayın Yetkili, Türk Telekom’dan 12 Aralık tarihinde fiber internet hizmeti almak üzere başvuru yaptım ve gerekli abonelik işlemlerini tamamladım. Ancak aradan bir ay gibi uzun bir süre geçmesine rağmen, tarafıma hizmet sunulmamış ve internet bağlantım aktif hale getirilmemiştir.Bu süre zarfında, müşteri hizmetlerinizi defalarca arayarak konu hakkında bilgi almak ve süreci hızlandırmak adına başvurularda bulundum. Ancak aldığım geri dönüşler son derece yetersiz kalmış ve bağlantının neden sağlanamadığına dair net bir açıklama yapılmamıştır. Her aradığımda yalnızca “altyapı çalışmaları devam ediyor” ya da “en kısa sürede çözülecek” gibi genel ifadelerle geçiştirilmekteyim.Mağduriyetim:	1.	Evimde veya iş yerimde internet hizmeti olmaması, günlük işlerimi ve sorumluluklarımı ciddi anlamda aksatmaktadır.	2.	İnternet bağlantısının sağlanacağına dair verilen taahhütlerin yerine getirilmemesi, hem zaman kaybına hem de maddi kayıplara sebep olmuştur.	3.	Alternatif bir çözüm sunulmaması, müşteri memnuniyetini göz ardı ettiğinizi göstermektedir.Talebim:	•	Fiber internet bağlantısının derhal sağlanmasını ve tarafıma somut bir tarih verilmesini talep ediyorum.	•	Bu süreçte yaşadığım mağduriyetin karşılanması adına tarafıma uygun bir şekilde telafi yapılmasını (örneğin: indirim veya ücretsiz kullanım) bekliyorum.	•	Ayrıca, tarafınıza defalarca ulaşmama rağmen çözüm bulunamaması ve süreçteki aksaklıklar sebebiyle müşteri memnuniyeti ilkesinin dikkate alınmasını rica ediyorum.Aksi takdirde, yasal haklarımı kullanarak ilgili kurumlara (Tüketici Hakem Heyeti, BTK vb.) başvuruda bulunacağımı bilgilerinize sunarım.Gereğini arz eder, en kısa sürede dönüş yapılmasını rica ederim.Ad-Soyad: F**** M***** D*******Telefon: 5378****88E-posta: d*************@gmail.comAdres: Kayseri, Talas",0
