language,op_name,n,label
tr,TurkTeklekom,1831,0
tr,Turkcell,1731,0
tr,Vodafone,1786,0
tr,TOTAL-NEG,5348,0
tr,TurkTeklekom,501,1
tr,Turkcell,311,1
tr,Vodafone,369,1
tr,TOTAL-NEU,1180,1
tr,TurkTeklekom,381,2
tr,Turkcell,318,2
tr,Vodafone,200,2
tr,TOTAL-POS,899,2
eng,ATT,1014,0
eng,T-Mobile,749,0
eng,Vodafone,999,0
eng,TOT-NEG,2762,0
eng,ATT,62,1
eng,IDM,940,1
eng,O2,256,1
eng,T-Mobile,75,1
eng,Vodafone,346,1
eng,TOTAL-NEU,1679,1
eng,ATT,413,2
eng,T-Mobile,1650,2
eng,Vodafone,1715,2
eng,TOTAL-POS,5078,2
