yorum,label
T-Mobile IS the very best mobile service we've EVER had. Always able to reach a live body when you call and no wasted time getting jacked around from one phone prompt to another. Their service works flawlessly when we bounce back and forth to Mexico and Canada. They're doing customer service right!,2
"""I recently switched my phone service from Pure Talk to T-Mobile and had the pleasure of being assisted by Scott Wallace at the Waterville, Maine location. I was incredibly impressed with his professionalism and helpfulness. Scott was extremely knowledgeable about the different plans and patiently answered all of my questions. He made the entire process of switching carriers very easy and stress-free. I highly recommend Scott and the T-Mobile store in Waterville.""",2
"I'm a long time customer (12+ years) so I guess I'm satisfied with their service.  I'm in a plan that they no longer offer, but am able to keep as long as I stay with them, so no price increases, except ""fees"", which is five unlimited lines for under $150/month.  The service itself is generally good as no one on the plan lives in a remote area.  Customer service on their ""800"" number has also been decent overall.  They have moved to offshore agents, but my experience has been decent to very good with them.  Going into their stores is a mixed bag, but never any horrible experiences, though some better than others.Another major carrier has recently offered me new phones + gift card$ to switch, but I'm reluctant to take the bait, at least for now sticking with the ""devil I know"" as opposed to the one I don't know.",2
Kelly Handyman Services LLC led by Brandon & Fabian are true professionals.Their work is top shelf and far above the norm. Do not hesitate do call them as they will deliver superior customer service.⭐️⭐️⭐️⭐️ ⭐️,2
I am a 77 yr old woman and I was having problems answering incoming calls. I went to T-mobile store in London Ohio. I received very professional assistance. They were kind and patient with me. I appreciated their service and would recommend this store highly. 614-581-4075. B. Elfrink,2
"Today I visited the T-Mobile store across from Town Center in Jacksonville, Florida.I was greeted with a smile and incredible service that was offered by Brenda. Brenda is new at this location however she has been with T-Mobile for years.Congratulations!",2
"I was having a problem with my phone constantly going to ""do not disturb"" on its own. It wouldn't let me do anything! I finally took it to Edward at the South Haven, Michigan store and he quickly solved the problem! It hasn't given a problem since! (I had an app that took over the phone. He removed it...)",2
"From the very 1st encounter setting up my account I've had nothing but the best customer service. I question everything yet whether I'm on the phone or f2f, they always answer my questions patiently and politely. The customer service reps can ""see"" everything in my account and can address all aspects. I moved from another big mobile company that made my every move to leave as painful as possible. T-mobile helped me and even adjusted my account because I missed a deadline to take advantage of the discounts for moving to T-mobile. I've even used the chat feature (which is traditionally like a torture chamber) and found the people on the chat side actually competent and able to handle my service needs. I've been a customer for quite a while and can say T-mobile has come a LONG WAY in service quality.",2
Shout out to Reggie on the phone for helping me reset my phone after it stopped connecting to my cellular. Works perfect now and he was so helpful thank you REGGIE!!!!!,2
I recently visited T-Mobile in Ridgeland on County Line Road. Customer service was amazing Sanyonette was awesome. She helped me every step of the way getting my new iPhone 15 set up she even applied the screen protector. My billing was completely explained and I encourage everyone to visit this location. And please ask for Sanyonette.,2
