yorum,label
2 ay öncesinde Vodafone kullanıcısıydım başka nir operatöre geçtim. Bilgim dahilinde olmadan beni yeni dönem faturasına geçirdikleri için yüksek miktarda cayma bedeli yansıdı. Sürekli kayıt oluşturuldu demelerine rağmen tekrar aradığımda askıya alındığını söylüyorlar. Her müşteri temsilcisi farklı bir şey söylüyor. Faturamı ödemediğim için de yasal işlem başlatılacak diye her gün mesaj geliyor. Yetkililer bir an önce ilgilensin lütfen.,0
Vodafone tarife taahhüdüm bu ay bitiyor ve yenilemem gerekiyor. Yeni tarife fiyatı ise eskisinin maalesef 3 katı olarak teklif ediliyor. Bu kadar zam yapmak hakkaniyetli bir davranış değil firmaların müşterilerini düşünerek hareket etmesi  gerekiyor.,0
"Vodafone müşterisiyim. Üzerimde iki tane hat bulunmaktadır. 0533 21*3*4* numaralı telefonumun tarife süresi geldi ancak bana çok yüksek tutarlardan paket önerileri yapılıyor. Uzun yıllardır müşterisi olduğum için mi bu tutarlar öneriliyor, anlamıyorum. Müşteri temsilcileri de yapabilecek hiçbir şeylerinin olmadığını söylüyorlar. Yeni müşterilere özel kampanyalar hazırlanırken, eski müşterilere neden bu tarifeler çok yüksek fiyattan veriliyor? Tarifemi uygun bir fiyat önerisi ile kullanmaya devam etmek istiyorum. Aksi takdirde başka bir operatörün yeni müşterisi olmak zorunda kalacağım.",0
Merhaba Vodafone faturam çok yüksek geliyor. Hattım babamın üzerine fakat faturayı ben ödüyorum öğrenciyim ne yapmalıyım bana yardımcı olabilir. misiniz. Acaba ödemekte zorlanıyorum öğrenciye indirim yapılmıyor mu? Bana yardımcı olun lütfen öğrenciyim...,0
1 yıllık taahhüdüm bittikten bittikten sonra iznim olmaksızın başka fahiş fiyatlı bir tarife uyguladılar. Bende müşteri temsilcilerini arayıp faturalıdan çıkmak istediğimi belirtim. Müşteri temsilcisi ben kaydınızı aldım arkadaşlar sizi arayacak ve bu tarifeden kullandığınız gün kadar ödersiniz dedi. Maalesef onlar bana dönüş sağlamayınca ben de 5-6 gün sonra farklı bir operatöre geçtim fakat simdi 5-6 günlük değil 1 aylık fatura kesmişler ve maalesef Tobi dışında müşteri temsilcilerine ulaşamıyorum. Kullanmadığım günlerin iadesini talep ediyorum.,0
"Vodafone ücretleri üç dört katına çıkarıyor. Zaten asgari ücrete yapılan zam göz önünde bulundurulduğunda, 90 TL'den 300 lira civarında bir ücrete yükselme söz konusu. Bu konuda makul bir artış yapılmasını talep ediyorum. Şu anki ülkenin durumu ortada ve kazandığımız paralar belli; normal bir artış talep ediyorum.",0
"Ben numaramı bir ay önce faturalı hat olarak kullanıyordum. Faturasıza geçiş için aradım, kasım ayında ilk görüşmemde arkadaş şu an işlemi yapamıyorum, ay sonuna doğru aramanız lazım dedi.Aradım ay sonu, bu sefer de yanlış bilgi denildi, bir hafta sürer denildi, talep oluşturuldu. Bir daha fatura çıkar mı diye aradım, gün bazlı olarak fatura çıkar, taahhütsüz ücreti 915 lira denildi. Faturasıza geçene kadar bu rakamı böleceksiniz dediler.Faturasıza geçtim ve şu an bana 915 TL fatura çıktı. Arkadaşların verdiği bilgiye göre benim hattıma çıkması gereken fatura 250 TL olması gerekiyor. Tarife ücreti çıkmış, böyle 915 lira fatura çıkacak ödemek zorundasınız deselerdi, ben tarife değişir taahhüt yenilerdim.Telefon görüşme kayıtlarını dinleyiniz, 2024 kasım ayı ve aralık ayı, ben itiraz ediyorum. Aksi halde mahkemeye başvuracağım. Yanlış bilgi verdiler. 915 TL çıkan faturamın, hattımın kaç günde faturasıza geçtiyse gün bazlı bölünmesi talebimdir.Ses kayıtlarını inceleyiniz, kasım aralık ayları 2024. Ayıp yani, ya bilmiyorsan yüzüme kapat bilgi verme, her önünüze geleni işe almışsınız, yanlış bilgiler uçuşuyor.1 Aralık 31 Aralık diyor, ben bu kadar uzun kullanmadım. Kasım ayında taahhüdüm bitiyordu, aradım, aralık ayında faturam çıktı, ödedim. Kesinlikle yanlış hesap.",0
"Vodafone fatura artışıFaturamın aralık ayı için 319 TL ücret kesilmiş normalde 263 TL ödemesi bulunuyordu. Arayıp sorduğumda 60 dakika paket aşımı yapıldığı söylendi. Böyle bir şey olamaz. Ben kendi paketimdeki dakikaları kullanmıyorum üstelik kendi telefonumda arama kayıtları mevcut kimle kaç dakika konuştuğum da görünmekte. Ben oraya baktığımda öyle bir şeyin mümkün olmadığının farkındayım. Müşteri hizmetlerine de bu durumu ilettim şikayet oluşturduğunu 48 saat içinde dönüş sağlanacağını iletti. Az önce Şikayetvar da bir müşteriye olumsuz dönüş sağlandığını gördüm. Ben bu ücreti kabul etmiyorum. Gerekenin yapılmasını, ilgilenilmesini talep ediyorum.",0
Vodafone Askercell Hattı Normal Hatta Çevirme Sorunu. Müşteri hizmetleri olsun Vodafone yanımda olsun pek çok yere başvurdum çözüm bulamadılar. Hattımı normale çevirmem hususunda yardımcı olursanız çok iyi olur. Bazı nedenlerden dolayı normal hatta geçirmem lazım,0
10 yılı aşkın Vodafone abonesi olarak yeni tarifelerin fiyatları çok pahalı. Şu an kullandığım 276 TL olan tarifeme denk gelen yeni tarife 610 TL. %200 den fazla fiyat artışını kabullenmek mümkün değil. Bu sorunu tobi üzerinden danışman arkadaşlara bildirip kayıt oluşturmama rağmen Vodafone tarafından herhangi bir dönüş sağlanmadı. Müşterilerine değer veren Vodafone son zamanlarda bu durumu göz ardı mı ediyor? Yeni gelen müşterilere sağlanan avantajlardan biz neden yararlanamıyoruz? 10 yılı aşkın Vodafone kullanıcısı olarak bu konuyla ilgili acil düzenleme talep ediyorum. Umarım geri dönüş sağlanarak mağduriyetim giderilir aksi durumda operatör değişikliğine gideceğim. Acil yardımlarınızı bekliyorum.,0
